record_id,budget_level,travellers,transport_mode,route_distance_km,public_transport_coverage,estimated_transport_cost_lkr,data_origin
15825,LOW,14,Public transport + 2 Minivans - Uber/PickMe,824.22,0.779,91810.9,reference-derived scenario
15826,LOW,18,Public transport + 2 Vans - Uber/PickMe,662.1,0.584,140711.17,reference-derived scenario
15827,MID,9,Van - Uber/PickMe,480.61,0.0,83901.75,reference-derived scenario
15828,MID,14,Public transport + 2 Minivans - Uber/PickMe,507.88,0.364,86750.32,reference-derived scenario
15829,MID,10,Van - Uber/PickMe,594.35,0.0,107895.74,reference-derived scenario
15830,HIGH,18,Private driver + 2 Vans,202.38,0.0,71462.34,reference-derived scenario
15831,LOW,17,Public transport + 2 Vans - Uber/PickMe,243.87,0.57,50600.68,reference-derived scenario
15832,LOW,8,Public transport + Van - Uber/PickMe,280.26,0.893,15860.41,reference-derived scenario
15833,HIGH,5,Public transport + Van - Uber/PickMe,188.87,0.482,20650.43,reference-derived scenario
15834,MID,19,Public transport + 2 Vans - Uber/PickMe,377.28,0.425,99687.28,reference-derived scenario
15835,MID,11,Van - Uber/PickMe,397.77,0.0,75325.29,reference-derived scenario
15836,MID,6,Public transport + Minivan - Uber/PickMe,255.97,0.582,17197.37,reference-derived scenario
15837,MID,19,2 Vans - Uber/PickMe,623.26,0.0,241480.18,reference-derived scenario
15838,MID,7,Public transport + Minivan - Uber/PickMe,368.18,0.864,15819.91,reference-derived scenario
15839,MID,7,Minivan - Uber/PickMe,799.47,0.0,97532.57,reference-derived scenario
15840,HIGH,7,Public transport + Van - Uber/PickMe,871.27,0.557,86003.22,reference-derived scenario
15841,LOW,9,Public transport + Van - Uber/PickMe,843.05,0.467,90513.24,reference-derived scenario
15842,MID,1,Public transport + Minivan - Uber/PickMe,881.51,0.483,58654.74,reference-derived scenario
15843,HIGH,7,Private driver + Minivan,62.28,0.0,7611.82,reference-derived scenario
15844,MID,10,Public transport + Van - Uber/PickMe,208.38,0.817,16721.42,reference-derived scenario
15845,MID,12,Public transport + Van - Uber/PickMe,204.18,0.911,15963.45,reference-derived scenario
15846,HIGH,10,Private driver + Van,343.45,0.0,64921.24,reference-derived scenario
15847,MID,8,Van - Uber/PickMe,162.89,0.0,28777.7,reference-derived scenario
15848,LOW,17,Public transport + 2 Vans - Uber/PickMe,875.33,0.518,188284.83,reference-derived scenario
15849,MID,10,Public transport + Van - Uber/PickMe,829.36,0.836,61935.61,reference-derived scenario
15850,HIGH,19,Private driver + 2 Vans,548.57,0.0,208294.11,reference-derived scenario
15851,LOW,12,Public transport + Van - Uber/PickMe,382.23,0.893,26605.16,reference-derived scenario
15852,MID,3,Van - Uber/PickMe,257.3,0.0,48000.53,reference-derived scenario
15853,LOW,20,Public transport + 2 Vans - Uber/PickMe,521.54,0.627,100599.87,reference-derived scenario
15854,LOW,7,Public transport + Minivan - Uber/PickMe,738.96,0.943,30161.56,reference-derived scenario
15855,LOW,2,Public transport + Van - Uber/PickMe,850.36,0.734,48750.19,reference-derived scenario
15856,LOW,11,Public transport + Van - Uber/PickMe,829.11,0.504,91800.16,reference-derived scenario
15857,HIGH,2,Minivan - Uber/PickMe,407.87,0.0,50119.67,reference-derived scenario
15858,LOW,10,Public transport + Van - Uber/PickMe,693.56,0.582,76764.09,reference-derived scenario
15859,LOW,4,Public transport + Minivan - Uber/PickMe,318.09,0.68,16400.77,reference-derived scenario
15860,HIGH,4,Tuk/Taxi - Uber/PickMe,186.04,0.0,18804.22,reference-derived scenario
15861,MID,12,Public transport + Van - Uber/PickMe,889.63,0.535,92885.28,reference-derived scenario
15862,LOW,16,Public transport + 2 Vans - Uber/PickMe,25.59,0.578,8565.86,reference-derived scenario
15863,MID,1,Minivan - Uber/PickMe,297.48,0.0,37449.11,reference-derived scenario
15864,MID,1,Van - Uber/PickMe,8.96,0.0,3055.76,reference-derived scenario
15865,LOW,7,Public transport + Minivan - Uber/PickMe,680.06,0.483,50428.14,reference-derived scenario
15866,MID,11,Van - Uber/PickMe,891.45,0.0,171485.33,reference-derived scenario
15867,HIGH,4,Public transport + Van - Uber/PickMe,611.78,0.939,17074.4,reference-derived scenario
15868,MID,15,Van - Uber/PickMe,204.08,0.0,36595.19,reference-derived scenario
15869,HIGH,12,Van - Uber/PickMe,124.51,0.0,24667.03,reference-derived scenario
15870,LOW,1,Public transport + Van - Uber/PickMe,785.37,0.946,12237.87,reference-derived scenario
15871,HIGH,2,Van - Uber/PickMe,799.85,0.0,137120.16,reference-derived scenario
15872,MID,6,Minivan - Uber/PickMe,550.04,0.0,68421.6,reference-derived scenario
15873,MID,16,2 Vans - Uber/PickMe,789.11,0.0,257274.74,reference-derived scenario
15874,MID,9,Van - Uber/PickMe,553.66,0.0,102589.15,reference-derived scenario
15875,HIGH,8,Public transport + Van - Uber/PickMe,835.49,0.916,39144.19,reference-derived scenario
15876,LOW,20,Public transport + 2 Vans - Uber/PickMe,609.91,0.481,148739.17,reference-derived scenario
15877,LOW,8,Public transport + Van - Uber/PickMe,739.21,0.686,58015.46,reference-derived scenario
15878,LOW,10,Public transport + Van - Uber/PickMe,226.85,0.917,15292.98,reference-derived scenario
15879,MID,13,Van - Uber/PickMe,617.93,0.0,116895.34,reference-derived scenario
15880,MID,7,Van - Uber/PickMe,407.35,0.0,67433.99,reference-derived scenario
15881,HIGH,3,Private driver + Car,522.87,0.0,69678.66,reference-derived scenario
15882,LOW,19,Public transport + 2 Vans - Uber/PickMe,325.34,0.949,39007.23,reference-derived scenario
15883,LOW,11,Public transport + Van - Uber/PickMe,431.68,0.671,44580.68,reference-derived scenario
15884,LOW,16,Public transport + 2 Vans - Uber/PickMe,190.62,0.814,26135.14,reference-derived scenario
15885,HIGH,7,Public transport + Van - Uber/PickMe,917.08,0.655,83849.94,reference-derived scenario
15886,LOW,19,Public transport + 2 Vans - Uber/PickMe,730.81,0.62,150656.45,reference-derived scenario
15887,HIGH,2,Van - Uber/PickMe,199.23,0.0,38576.39,reference-derived scenario
15888,LOW,14,Public transport + 2 Minivans - Uber/PickMe,89.81,0.432,15368.91,reference-derived scenario
15889,HIGH,19,2 Vans - Uber/PickMe,887.42,0.0,310949.24,reference-derived scenario
15890,LOW,18,Public transport + 2 Vans - Uber/PickMe,856.67,0.417,194470.86,reference-derived scenario
15891,LOW,4,Public transport + Minivan - Uber/PickMe,566.0,0.679,31701.86,reference-derived scenario
15892,LOW,2,Public transport + Minivan - Uber/PickMe,511.2,0.687,25054.64,reference-derived scenario
15893,LOW,10,Public transport + Van - Uber/PickMe,234.38,0.493,29121.65,reference-derived scenario
15894,HIGH,14,2 Minivans - Uber/PickMe,572.81,0.0,131186.11,reference-derived scenario
15895,MID,18,Public transport + 2 Vans - Uber/PickMe,481.67,0.39,118841.47,reference-derived scenario
15896,MID,12,Van - Uber/PickMe,799.82,0.0,137042.89,reference-derived scenario
15897,LOW,17,Public transport + 2 Vans - Uber/PickMe,684.85,0.614,133407.27,reference-derived scenario
15898,LOW,13,Public transport + Van - Uber/PickMe,202.2,0.818,18397.62,reference-derived scenario
15899,LOW,2,Public transport + Minivan - Uber/PickMe,438.37,0.539,27161.99,reference-derived scenario
15900,LOW,16,Public transport + 2 Vans - Uber/PickMe,573.26,0.391,138221.08,reference-derived scenario
15901,MID,11,Public transport + Van - Uber/PickMe,248.04,0.857,20011.72,reference-derived scenario
15902,LOW,7,Public transport + Minivan - Uber/PickMe,336.8,0.768,17333.45,reference-derived scenario
15903,LOW,16,Public transport + 2 Vans - Uber/PickMe,824.61,0.816,98540.4,reference-derived scenario
15904,LOW,11,Public transport + Van - Uber/PickMe,78.89,0.44,10843.89,reference-derived scenario
15905,MID,14,2 Minivans - Uber/PickMe,563.08,0.0,140203.46,reference-derived scenario
15906,MID,2,Minivan - Uber/PickMe,925.97,0.0,107760.1,reference-derived scenario
15907,MID,7,Public transport + Minivan - Uber/PickMe,680.29,0.761,35340.96,reference-derived scenario
15908,MID,18,2 Vans - Uber/PickMe,549.6,0.0,198302.68,reference-derived scenario
15909,LOW,19,Public transport + 2 Vans - Uber/PickMe,147.3,0.361,42131.67,reference-derived scenario
15910,LOW,16,Public transport + 2 Vans - Uber/PickMe,589.27,0.766,82523.53,reference-derived scenario
15911,MID,19,2 Vans - Uber/PickMe,601.78,0.0,212812.8,reference-derived scenario
15912,MID,10,Public transport + Van - Uber/PickMe,817.59,0.784,60947.43,reference-derived scenario
15913,MID,17,Public transport + 2 Vans - Uber/PickMe,478.65,0.606,87104.82,reference-derived scenario
15914,LOW,15,Public transport + Van - Uber/PickMe,676.57,0.611,76892.11,reference-derived scenario
15915,LOW,11,Public transport + Van - Uber/PickMe,583.61,0.631,57321.11,reference-derived scenario
15916,HIGH,15,Private driver + Van,429.78,0.0,77455.71,reference-derived scenario
15917,MID,16,2 Vans - Uber/PickMe,796.56,0.0,297288.1,reference-derived scenario
15918,HIGH,1,Private driver + Car,295.47,0.0,45278.77,reference-derived scenario
15919,HIGH,17,Public transport + 2 Vans - Uber/PickMe,712.28,0.637,131371.82,reference-derived scenario
15920,LOW,5,Public transport + Van - Uber/PickMe,519.8,0.918,20828.99,reference-derived scenario
15921,HIGH,20,Public transport + 2 Vans - Uber/PickMe,532.88,0.792,88450.21,reference-derived scenario
15922,MID,12,Van - Uber/PickMe,940.42,0.0,161950.24,reference-derived scenario
15923,LOW,9,Public transport + Van - Uber/PickMe,180.71,0.579,20285.82,reference-derived scenario
15924,LOW,11,Public transport + Van - Uber/PickMe,112.79,0.587,12424.15,reference-derived scenario
15925,HIGH,8,Van - Uber/PickMe,698.03,0.0,127878.53,reference-derived scenario
15926,LOW,6,Public transport + Van - Uber/PickMe,129.82,0.944,6739.65,reference-derived scenario
15927,MID,4,Public transport + Minivan - Uber/PickMe,247.56,0.462,17577.83,reference-derived scenario
15928,LOW,13,Public transport + Van - Uber/PickMe,812.17,0.707,81936.77,reference-derived scenario
15929,LOW,6,Public transport + Minivan - Uber/PickMe,906.98,0.498,67569.1,reference-derived scenario
15930,MID,14,Public transport + 2 Minivans - Uber/PickMe,836.57,0.534,135474.6,reference-derived scenario
15931,LOW,17,Public transport + 2 Vans - Uber/PickMe,135.47,0.465,35942.97,reference-derived scenario
15932,LOW,6,Public transport + Minivan - Uber/PickMe,95.06,0.912,4585.02,reference-derived scenario
15933,MID,11,Van - Uber/PickMe,692.61,0.0,115771.15,reference-derived scenario
15934,HIGH,17,Public transport + 2 Vans - Uber/PickMe,725.28,0.43,163319.38,reference-derived scenario
15935,LOW,7,Public transport + Minivan - Uber/PickMe,324.3,0.573,24466.08,reference-derived scenario
15936,MID,1,Public transport + Minivan - Uber/PickMe,800.95,0.725,30622.38,reference-derived scenario
15937,MID,5,Minivan - Uber/PickMe,246.28,0.0,33070.6,reference-derived scenario
15938,HIGH,18,Private driver + 2 Vans,158.63,0.0,51425.48,reference-derived scenario
15939,MID,9,Public transport + Van - Uber/PickMe,439.55,0.649,39548.97,reference-derived scenario
15940,LOW,6,Public transport + Van - Uber/PickMe,946.06,0.825,48750.67,reference-derived scenario
15941,LOW,1,Public transport + Van - Uber/PickMe,312.02,0.453,34542.47,reference-derived scenario
15942,HIGH,6,Minivan - Uber/PickMe,418.82,0.0,50021.96,reference-derived scenario
15943,MID,2,Van - Uber/PickMe,792.32,0.0,144398.26,reference-derived scenario
15944,LOW,15,Public transport + Van - Uber/PickMe,816.31,0.633,97454.53,reference-derived scenario
15945,MID,14,Public transport + 2 Minivans - Uber/PickMe,341.55,0.632,45417.37,reference-derived scenario
15946,HIGH,19,2 Vans - Uber/PickMe,608.31,0.0,226179.13,reference-derived scenario
15947,MID,2,Public transport + Tuk/Taxi,655.71,0.698,19032.28,reference-derived scenario
15948,LOW,3,Public transport + Minivan - Uber/PickMe,318.03,0.711,16152.09,reference-derived scenario
15949,MID,4,Public transport + Minivan - Uber/PickMe,368.25,0.848,13425.21,reference-derived scenario
15950,LOW,3,Public transport + Van - Uber/PickMe,333.34,0.497,36028.92,reference-derived scenario
15951,MID,2,Public transport + Tuk/Taxi,323.58,0.453,14939.26,reference-derived scenario
15952,LOW,6,Public transport + Minivan - Uber/PickMe,723.84,0.384,62248.35,reference-derived scenario
15953,MID,19,Public transport + 2 Vans - Uber/PickMe,945.45,0.867,117408.87,reference-derived scenario
15954,MID,6,Public transport + Minivan - Uber/PickMe,663.56,0.549,49226.18,reference-derived scenario
15955,LOW,20,Public transport + 2 Vans - Uber/PickMe,560.5,0.755,92203.88,reference-derived scenario
15956,HIGH,10,Public transport + Van - Uber/PickMe,475.87,0.865,30826.33,reference-derived scenario
15957,MID,5,Van - Uber/PickMe,449.57,0.0,87323.27,reference-derived scenario
15958,LOW,4,Public transport + Van - Uber/PickMe,829.61,0.783,47362.24,reference-derived scenario
15959,LOW,20,Public transport + 2 Vans - Uber/PickMe,598.0,0.813,94974.69,reference-derived scenario
15960,LOW,4,Public transport + Van - Uber/PickMe,429.55,0.563,39896.18,reference-derived scenario
15961,LOW,6,Public transport + Minivan - Uber/PickMe,299.25,0.647,20223.54,reference-derived scenario
15962,MID,6,Van - Uber/PickMe,320.35,0.0,61455.1,reference-derived scenario
15963,MID,14,2 Minivans - Uber/PickMe,224.68,0.0,60125.73,reference-derived scenario
15964,HIGH,5,Van - Uber/PickMe,858.2,0.0,149555.49,reference-derived scenario
15965,LOW,1,Public transport + Tuk/Taxi,517.38,0.719,12660.3,reference-derived scenario
15966,LOW,7,Public transport + Van - Uber/PickMe,683.61,0.634,57486.83,reference-derived scenario
15967,MID,8,Van - Uber/PickMe,143.57,0.0,25925.45,reference-derived scenario
15968,LOW,7,Public transport + Minivan - Uber/PickMe,148.34,0.91,6690.33,reference-derived scenario
15969,MID,15,Van - Uber/PickMe,589.37,0.0,112131.93,reference-derived scenario
15970,HIGH,3,Public transport + Van - Uber/PickMe,282.56,0.797,15555.77,reference-derived scenario
15971,MID,6,Public transport + Van - Uber/PickMe,435.75,0.548,43565.67,reference-derived scenario
15972,LOW,9,Public transport + Van - Uber/PickMe,499.69,0.381,68023.4,reference-derived scenario
15973,MID,1,Public transport + Van - Uber/PickMe,424.38,0.597,33700.16,reference-derived scenario
15974,MID,18,2 Vans - Uber/PickMe,44.08,0.0,18440.61,reference-derived scenario
15975,MID,12,Public transport + Van - Uber/PickMe,759.23,0.667,70267.41,reference-derived scenario
15976,LOW,5,Public transport + Minivan - Uber/PickMe,643.38,0.903,22066.87,reference-derived scenario
15977,HIGH,10,Public transport + Van - Uber/PickMe,812.47,0.853,53516.1,reference-derived scenario
15978,LOW,3,Public transport + Van - Uber/PickMe,823.33,0.784,38563.53,reference-derived scenario
15979,MID,18,2 Vans - Uber/PickMe,526.29,0.0,201674.11,reference-derived scenario
15980,LOW,12,Public transport + Van - Uber/PickMe,876.25,0.494,95062.28,reference-derived scenario
15981,MID,2,Public transport + Minivan - Uber/PickMe,828.31,0.389,67632.0,reference-derived scenario
15982,LOW,13,Public transport + Van - Uber/PickMe,420.77,0.615,42430.78,reference-derived scenario
15983,LOW,19,Public transport + 2 Vans - Uber/PickMe,276.55,0.496,65383.74,reference-derived scenario
15984,LOW,10,Public transport + Van - Uber/PickMe,152.15,0.886,10445.37,reference-derived scenario
15985,HIGH,7,Public transport + Van - Uber/PickMe,648.12,0.455,68636.41,reference-derived scenario
15986,LOW,19,Public transport + 2 Vans - Uber/PickMe,15.43,0.843,4927.04,reference-derived scenario
15987,MID,19,2 Vans - Uber/PickMe,245.63,0.0,85872.04,reference-derived scenario
15988,LOW,18,Public transport + 2 Vans - Uber/PickMe,230.52,0.784,38513.67,reference-derived scenario
15989,HIGH,9,Private driver + Van,774.43,0.0,129512.02,reference-derived scenario
15990,MID,17,2 Vans - Uber/PickMe,276.11,0.0,106545.99,reference-derived scenario
15991,LOW,2,Public transport + Minivan - Uber/PickMe,914.25,0.812,28616.11,reference-derived scenario
15992,MID,3,Public transport + Minivan - Uber/PickMe,269.0,0.49,20082.35,reference-derived scenario
15993,HIGH,13,Public transport + Van - Uber/PickMe,696.0,0.581,80672.87,reference-derived scenario
15994,MID,6,Public transport + Van - Uber/PickMe,530.92,0.861,29029.09,reference-derived scenario
15995,LOW,5,Public transport + Minivan - Uber/PickMe,318.33,0.691,17479.56,reference-derived scenario
15996,MID,16,Public transport + 2 Vans - Uber/PickMe,817.71,0.701,131807.47,reference-derived scenario
15997,LOW,8,Public transport + Van - Uber/PickMe,495.53,0.403,65312.95,reference-derived scenario
15998,LOW,17,Public transport + 2 Vans - Uber/PickMe,152.85,0.899,17976.15,reference-derived scenario
15999,MID,8,Public transport + Van - Uber/PickMe,395.26,0.804,28142.69,reference-derived scenario
16000,MID,9,Van - Uber/PickMe,336.52,0.0,64292.69,reference-derived scenario
16001,MID,11,Van - Uber/PickMe,737.07,0.0,141797.45,reference-derived scenario
16002,HIGH,12,Private driver + Van,527.11,0.0,92904.31,reference-derived scenario
16003,LOW,15,Public transport + Van - Uber/PickMe,592.77,0.474,80406.53,reference-derived scenario
16004,LOW,11,Public transport + Van - Uber/PickMe,241.87,0.714,23702.23,reference-derived scenario
16005,MID,14,Public transport + 2 Minivans - Uber/PickMe,571.97,0.711,64786.93,reference-derived scenario
16006,HIGH,11,Private driver + Van,536.26,0.0,99801.01,reference-derived scenario
16007,LOW,20,Public transport + 2 Vans - Uber/PickMe,119.31,0.384,32231.68,reference-derived scenario
16008,LOW,19,Public transport + 2 Vans - Uber/PickMe,483.54,0.378,119366.86,reference-derived scenario
16009,MID,13,Public transport + Van - Uber/PickMe,505.42,0.805,40103.4,reference-derived scenario
16010,MID,16,Public transport + 2 Vans - Uber/PickMe,690.75,0.663,116845.94,reference-derived scenario
16011,HIGH,3,Public transport + Minivan - Uber/PickMe,84.07,0.911,2917.55,reference-derived scenario
16012,MID,4,Public transport + Minivan - Uber/PickMe,321.32,0.735,15312.2,reference-derived scenario
16013,MID,17,2 Vans - Uber/PickMe,54.49,0.0,22123.07,reference-derived scenario
16014,MID,12,Public transport + Van - Uber/PickMe,903.2,0.923,57876.34,reference-derived scenario
16015,LOW,16,Public transport + 2 Vans - Uber/PickMe,779.19,0.837,104401.06,reference-derived scenario
16016,LOW,19,Public transport + 2 Vans - Uber/PickMe,424.04,0.502,95592.13,reference-derived scenario
16017,MID,20,Public transport + 2 Vans - Uber/PickMe,146.81,0.803,24733.7,reference-derived scenario
16018,MID,7,Public transport + Van - Uber/PickMe,792.5,0.469,90372.72,reference-derived scenario
16019,LOW,11,Public transport + Van - Uber/PickMe,632.61,0.36,77552.95,reference-derived scenario
16020,LOW,15,Public transport + Van - Uber/PickMe,93.25,0.357,13742.17,reference-derived scenario
16021,MID,1,Public transport + Van - Uber/PickMe,922.11,0.55,71521.96,reference-derived scenario
16022,LOW,1,Public transport + Tuk/Taxi,914.11,0.48,41497.55,reference-derived scenario
16023,LOW,10,Public transport + Van - Uber/PickMe,547.83,0.646,50962.48,reference-derived scenario
16024,LOW,6,Public transport + Minivan - Uber/PickMe,112.97,0.68,7309.82,reference-derived scenario
16025,MID,5,Van - Uber/PickMe,152.21,0.0,26560.23,reference-derived scenario
16026,LOW,3,Public transport + Van - Uber/PickMe,371.4,0.6,28684.28,reference-derived scenario
16027,LOW,13,Public transport + Van - Uber/PickMe,714.63,0.7,65332.9,reference-derived scenario
16028,HIGH,20,Private driver + 2 Vans,888.38,0.0,314623.9,reference-derived scenario
16029,LOW,13,Public transport + Van - Uber/PickMe,493.6,0.65,52034.37,reference-derived scenario
16030,LOW,2,Public transport + Van - Uber/PickMe,531.0,0.656,34255.7,reference-derived scenario
16031,MID,14,2 Minivans - Uber/PickMe,545.18,0.0,121806.99,reference-derived scenario
16032,LOW,4,Public transport + Van - Uber/PickMe,858.15,0.849,40357.38,reference-derived scenario
16033,MID,16,Public transport + 2 Vans - Uber/PickMe,251.59,0.6,52965.95,reference-derived scenario
16034,MID,9,Public transport + Van - Uber/PickMe,35.48,0.645,4866.34,reference-derived scenario
16035,MID,6,Public transport + Van - Uber/PickMe,132.22,0.506,15224.99,reference-derived scenario
16036,HIGH,4,Private driver + Car,159.98,0.0,24603.03,reference-derived scenario
16037,LOW,7,Public transport + Van - Uber/PickMe,238.42,0.468,27384.48,reference-derived scenario
16038,MID,7,Public transport + Minivan - Uber/PickMe,338.45,0.883,16541.11,reference-derived scenario
16039,MID,5,Public transport + Minivan - Uber/PickMe,822.58,0.681,45869.48,reference-derived scenario
16040,HIGH,8,Private driver + Van,747.72,0.0,133670.8,reference-derived scenario
16041,LOW,10,Public transport + Van - Uber/PickMe,397.81,0.653,38545.19,reference-derived scenario
16042,MID,14,2 Minivans - Uber/PickMe,100.07,0.0,25784.54,reference-derived scenario
16043,MID,9,Public transport + Van - Uber/PickMe,558.48,0.4,74008.2,reference-derived scenario
16044,MID,1,Public transport + Minivan - Uber/PickMe,145.14,0.817,4747.13,reference-derived scenario
16045,LOW,5,Public transport + Van - Uber/PickMe,444.82,0.698,30534.66,reference-derived scenario
16046,MID,15,Public transport + Van - Uber/PickMe,361.52,0.733,38352.94,reference-derived scenario
16047,MID,18,2 Vans - Uber/PickMe,633.97,0.0,215495.01,reference-derived scenario
16048,MID,8,Van - Uber/PickMe,593.79,0.0,98122.61,reference-derived scenario
16049,HIGH,10,Public transport + Van - Uber/PickMe,883.47,0.889,52790.46,reference-derived scenario
16050,LOW,16,Public transport + 2 Vans - Uber/PickMe,711.07,0.691,124930.78,reference-derived scenario
16051,MID,14,Public transport + 2 Minivans - Uber/PickMe,414.54,0.746,45570.09,reference-derived scenario
16052,MID,12,Van - Uber/PickMe,712.93,0.0,130310.97,reference-derived scenario
16053,MID,4,Van - Uber/PickMe,669.52,0.0,122018.6,reference-derived scenario
16054,LOW,12,Public transport + Van - Uber/PickMe,473.79,0.37,67895.48,reference-derived scenario
16055,LOW,18,Public transport + 2 Vans - Uber/PickMe,619.44,0.893,68664.04,reference-derived scenario
16056,LOW,5,Public transport + Van - Uber/PickMe,713.19,0.686,56006.66,reference-derived scenario
16057,HIGH,10,Public transport + Van - Uber/PickMe,196.45,0.501,22624.94,reference-derived scenario
16058,MID,17,Public transport + 2 Vans - Uber/PickMe,847.17,0.679,151758.65,reference-derived scenario
16059,MID,3,Van - Uber/PickMe,330.8,0.0,63776.77,reference-derived scenario
16060,LOW,12,Public transport + Van - Uber/PickMe,527.58,0.452,62046.47,reference-derived scenario
16061,MID,3,Public transport + Minivan - Uber/PickMe,939.2,0.373,79330.42,reference-derived scenario
16062,HIGH,12,Private driver + Van,328.25,0.0,62327.18,reference-derived scenario
16063,LOW,3,Public transport + Tuk/Taxi,574.34,0.354,30703.48,reference-derived scenario
16064,MID,20,Public transport + 2 Vans - Uber/PickMe,195.78,0.639,41098.76,reference-derived scenario
16065,LOW,20,Public transport + 2 Vans - Uber/PickMe,583.0,0.857,79097.35,reference-derived scenario
16066,LOW,16,Public transport + 2 Vans - Uber/PickMe,652.83,0.353,160800.61,reference-derived scenario
16067,LOW,12,Public transport + Van - Uber/PickMe,243.99,0.872,19183.08,reference-derived scenario
16068,LOW,9,Public transport + Van - Uber/PickMe,552.5,0.486,67329.18,reference-derived scenario
16069,LOW,5,Public transport + Minivan - Uber/PickMe,704.82,0.765,32259.04,reference-derived scenario
16070,MID,6,Public transport + Minivan - Uber/PickMe,187.55,0.454,15149.23,reference-derived scenario
16071,HIGH,15,Van - Uber/PickMe,621.24,0.0,106227.92,reference-derived scenario
16072,LOW,11,Public transport + Van - Uber/PickMe,586.84,0.521,68549.1,reference-derived scenario
16073,MID,20,2 Vans - Uber/PickMe,799.21,0.0,276439.44,reference-derived scenario
16074,LOW,20,Public transport + 2 Vans - Uber/PickMe,204.99,0.558,45090.93,reference-derived scenario
16075,LOW,16,Public transport + 2 Vans - Uber/PickMe,494.71,0.636,95476.62,reference-derived scenario
16076,LOW,4,Public transport + Minivan - Uber/PickMe,96.66,0.478,7838.86,reference-derived scenario
16077,HIGH,1,Minivan - Uber/PickMe,812.32,0.0,96957.5,reference-derived scenario
16078,MID,11,Public transport + Van - Uber/PickMe,764.0,0.474,83280.93,reference-derived scenario
16079,LOW,7,Public transport + Minivan - Uber/PickMe,360.99,0.802,18971.98,reference-derived scenario
16080,LOW,10,Public transport + Van - Uber/PickMe,46.63,0.744,5545.94,reference-derived scenario
16081,LOW,10,Public transport + Van - Uber/PickMe,333.02,0.476,38824.13,reference-derived scenario
16082,LOW,11,Public transport + Van - Uber/PickMe,186.25,0.891,14540.65,reference-derived scenario
16083,MID,4,Tuk/Taxi - Uber/PickMe,100.24,0.0,10654.84,reference-derived scenario
16084,MID,19,2 Vans - Uber/PickMe,883.97,0.0,306927.93,reference-derived scenario
16085,MID,14,2 Minivans - Uber/PickMe,252.72,0.0,59919.08,reference-derived scenario
16086,HIGH,7,Public transport + Minivan - Uber/PickMe,619.26,0.861,27582.22,reference-derived scenario
16087,LOW,13,Public transport + Van - Uber/PickMe,713.03,0.483,89968.51,reference-derived scenario
16088,MID,15,Van - Uber/PickMe,124.09,0.0,21321.04,reference-derived scenario
16089,LOW,14,Public transport + 2 Minivans - Uber/PickMe,631.55,0.848,64841.34,reference-derived scenario
16090,MID,12,Van - Uber/PickMe,107.2,0.0,18743.8,reference-derived scenario
16091,LOW,9,Public transport + Van - Uber/PickMe,111.06,0.564,13697.93,reference-derived scenario
16092,LOW,13,Public transport + Van - Uber/PickMe,822.46,0.429,101694.95,reference-derived scenario
16093,LOW,4,Public transport + Minivan - Uber/PickMe,188.11,0.727,9797.59,reference-derived scenario
16094,MID,5,Public transport + Minivan - Uber/PickMe,767.47,0.949,22472.94,reference-derived scenario
16095,MID,18,2 Vans - Uber/PickMe,575.82,0.0,215266.66,reference-derived scenario
16096,MID,2,Minivan - Uber/PickMe,937.31,0.0,117515.58,reference-derived scenario
16097,LOW,18,Public transport + 2 Vans - Uber/PickMe,437.96,0.543,92211.62,reference-derived scenario
16098,LOW,9,Public transport + Van - Uber/PickMe,732.27,0.731,58032.72,reference-derived scenario
16099,MID,9,Public transport + Van - Uber/PickMe,714.96,0.763,51508.5,reference-derived scenario
16100,LOW,14,Public transport + 2 Minivans - Uber/PickMe,749.92,0.607,100308.31,reference-derived scenario
16101,LOW,7,Public transport + Van - Uber/PickMe,401.51,0.731,28288.47,reference-derived scenario
16102,LOW,6,Public transport + Minivan - Uber/PickMe,741.71,0.794,38276.14,reference-derived scenario
16103,LOW,17,Public transport + 2 Vans - Uber/PickMe,102.07,0.481,28033.33,reference-derived scenario
16104,LOW,3,Public transport + Minivan - Uber/PickMe,424.93,0.855,13112.78,reference-derived scenario
16105,HIGH,10,Private driver + Van,243.8,0.0,42682.16,reference-derived scenario
16106,LOW,11,Public transport + Van - Uber/PickMe,293.16,0.917,20823.04,reference-derived scenario
16107,HIGH,7,Public transport + Van - Uber/PickMe,306.54,0.579,29389.91,reference-derived scenario
16108,LOW,12,Public transport + Van - Uber/PickMe,929.66,0.921,63264.34,reference-derived scenario
16109,LOW,5,Public transport + Van - Uber/PickMe,507.61,0.443,60101.9,reference-derived scenario
16110,HIGH,8,Private driver + Van,545.07,0.0,89912.82,reference-derived scenario
16111,MID,10,Public transport + Van - Uber/PickMe,268.74,0.656,25743.37,reference-derived scenario
16112,MID,11,Public transport + Van - Uber/PickMe,218.76,0.918,13840.71,reference-derived scenario
16113,MID,3,Public transport + Van - Uber/PickMe,894.39,0.764,45749.72,reference-derived scenario
16114,LOW,9,Public transport + Van - Uber/PickMe,690.24,0.934,37284.21,reference-derived scenario
16115,LOW,10,Public transport + Van - Uber/PickMe,730.11,0.611,78211.62,reference-derived scenario
16116,MID,15,Van - Uber/PickMe,571.89,0.0,99439.53,reference-derived scenario
16117,MID,14,2 Minivans - Uber/PickMe,113.11,0.0,28602.87,reference-derived scenario
